A,B,C,D,E,F
35,270.03,18,21.26,-60.4246,-58.3513
24,171.16,10,13.02,-5.96713,-0.62717
7,18.13,36,39,4.23936,6.78438
20,135.16,13,16.54,-36.4379,-6.42498
20,135.51,38,41.39,-1.46271,-1.364
3,-17.69,36,38.98,3.39219,2.11968
39,306.46,0,3.32,72.5935,40.2392
5,0.02,21,24.54,21.7859,3.06181
31,234.35,26,29.17,-46.9656,-30.4998
17,108.34,16,19.54,-53.7767,-21.7272
13,72.49,32,35.06,22.7168,3.59799
16,99.41,17,20.4,-30.9732,-44.2342
4,-8.66,24,27.52,9.22538,5.99102
25,180.25,4,6.99,24.5119,52.5658
26,189.04,22,25.01,-1.75349,-3.59517
37,288.33,32,35.52,2.05213,5.63815
8,27.36,10,13.33,28.5,49.3634
28,207,8,11.19,82.0747,55.3601
22,153.35,16,19.56,39.4297,23.6917
9,36.27,38,41.45,-18.1271,-59.2909
27,198.19,1,4.36,26.7599,50.328
33,252.51,34,37.44,-57.0456,-53.1958
3,-17.87,9,12.52,-20.572,-12.3609
2,-26.61,1,4.03,-29.3709,-60.2192
10,44.97,17,20.09,-53.5086,-40.3216
25,180.48,9,12.38,36.2009,19.2483
17,108.18,13,16.41,-57.4302,-34.5075
29,216.14,21,24.32,-14.4744,-17.8743
15,90.51,1,4.41,-38.8573,-31.466
27,198.09,20,23.27,2.00739,2.22943
19,126.37,0,3.43,-47.2552,-31.874
17,108.2,15,18.44,49.2622,13.1998
39,306.5,13,16.36,-27.6553,-4.38016
0,-44.47,18,20.97,-34.5283,-33.3436
38,297.53,38,41.27,72.4041,67.5178
19,126.18,11,14.03,-89.0114,-18.9199
17,108.24,29,32.07,20.427,53.2141
5,0.14,9,12.52,-20.5061,-20.5061
31,234.07,17,20.34,-78.1951,-38.1383
3,-17.73,15,18.4,-55.9712,-34.9746
19,126.25,22,25.09,-1.5,-2.59808
14,81.55,26,29.35,28.9778,7.76457
11,54.16,33,36.38,48.8567,38.171
20,135.17,24,27.06,29.8858,2.61467
31,234.56,6,9,-73.8289,-59.7854
7,18.01,2,5.37,20.4883,16.0072
15,90.01,29,32.39,43.956,50.5655
30,225.3,34,37.13,-3.2161,-10.5193
0,-44.78,10,13.08,85.6783,15.1074
3,-17.96,16,19.14,-15.3017,-44.4394
8,27.49,37,40.37,34.0587,14.457
21,144.01,26,29.44,-23.9641,-36.9015
23,162.08,18,21.56,-17.3867,-4.65874
23,162.05,3,6.5,45.638,54.3891
25,180.11,26,29.25,60.7679,5.3165
17,108.37,14,17.39,-24.6255,-67.6578
27,198.31,1,4.26,15.7114,54.7919
29,215.99,11,14.11,57.8509,68.944
10,45.55,33,36.39,15.4548,4.1411
37,288.07,10,13.48,34.1151,39.2449
18,117.26,24,27.3,-16.3623,-20.2058
36,279.44,5,8.53,-87.6651,-7.6697
29,216.48,6,9.47,18.3686,13.8417
35,270.27,11,14.27,64.4171,24.7274
19,126.48,10,13.4,15.8709,6.09225
21,144.39,26,29.31,-25.2164,-19.7012
26,189.21,5,8.35,-92.6608,-31.9057
21,143.97,5,8.16,20.1651,41.3445
22,153,31,34.04,32.3607,23.5114
6,9.35,39,42.06,2.6496,4.24024
3,-17.9,17,19.97,62.8983,69.8556
3,-17.9,7,10.3,-41.7672,-81.9726
24,171.47,28,31.03,28.3271,47.1442
25,180.24,37,40.31,-76.669,-57.7742
38,297.23,24,27.2,56.3143,52.5138
2,-26.94,35,38.32,-44.6818,-55.1773
10,45.07,23,26.3,12.8644,42.0774
11,54.23,15,18.39,5.4479,10.6921
31,234.33,11,14.41,0.877118,2.86891
24,171.05,16,19.3,-76.052,-12.0454
8,27.28,37,40.16,58.2746,30.9851
31,234.45,1,4.44,-45.6571,-5.60599
21,144.38,16,19.32,7.38794,9.45612
35,270.41,10,13.11,47.3836,78.8594
12,63.56,5,8.54,93.2546,18.1268
27,198.32,21,24.08,-9.45519,-3.25568
11,54.16,33,36.31,-4.6679,-1.79184
26,189.49,8,11.42,-17.619,-14.7841
19,126.13,20,23.12,-3.50698,-7.19035
24,171.11,30,33.31,14.2148,43.7486
23,162.35,28,30.99,-39.0032,-55.7023
25,180.21,3,6.11,-50.5656,-43.9559
37,288.11,26,29.2,-38.5001,-66.6839
36,279.13,15,18.11,-31.874,-47.2551
4,-8.66,11,14.36,-80.6614,-37.613
23,162.38,11,14.05,54.2264,30.0582
24,171.25,2,5.16,-38.1478,-8.10855
17,108.35,11,13.97,-17.5807,-51.058
2,-26.84,3,6.4,7.72545,23.7764
0,-44.71,3,6.56,-29.8703,-30.9316
11,54.52,36,38.98,-21.4493,-17.998
13,72.48,21,24.43,7.54804,4.90175
11,54.13,8,11.53,50.8637,10.8114
29,216.14,26,29.39,-4.81453,-6.38908
20,135.12,20,23.14,-72.0946,-20.6728
2,-26.93,15,18.06,-15.7814,-32.3566
37,288.08,5,8.1,74.3392,15.8013
10,45.52,18,21.33,11.153,12.8301
