A,B,C,D,E,F
9,43,13,145.04,-44.0001,-76.2102
19,73.11,32,316.39,85.7446,19.7957
26,94.22,13,145.36,-23.8396,-12.6757
15,61.05,31,307.19,-74.0766,-11.7326
9,43.15,22,226.52,12.955,45.1793
33,115.18,22,226.05,6.29321,7.77145
4,28.16,19,199.47,64.9057,72.085
31,109.41,10,118.07,-21.2763,-16.6228
18,70.01,12,136.38,30.2566,10.4182
26,94.45,20,208.26,73.6206,53.4884
25,91.1,7,91.53,18.0665,20.0649
26,94.23,8,100.16,75.0724,62.9931
16,64.52,38,370.55,47.4059,38.3885
35,121.04,28,280.16,34.0387,11.7204
17,67.52,26,262.38,19.4048,21.5512
7,37.15,26,262.51,14.913,21.2979
11,49.43,16,172.03,92.3068,11.3338
21,79.42,25,253.26,-36.001,-21.6316
38,130.07,9,109.44,57.3916,30.5156
18,70.38,32,316.13,-2.19406,-2.04599
32,112.13,8,100.05,77.9866,25.3394
38,130.08,4,64.54,44.5727,26.782
39,133.56,23,235.21,31.6964,67.9731
34,118.1,11,127.03,4.36329,7.87157
7,37.37,34,334.38,44.0839,60.6762
8,40.17,0,28.04,5.07952,11.9666
5,31.56,8,100,-3.80423,-1.23607
2,22.12,25,253.33,-7.30836,-3.25389
20,76.06,22,226.13,-19,-32.909
31,109.45,16,172.3,-18.6509,-3.62537
31,109.2,38,370.2,-0.809017,-0.587785
26,94.43,6,82.2,18.9076,34.1101
8,40.03,15,162.98,85.607,36.338
37,127.17,14,154.36,-31.2596,-32.3703
8,40.04,21,216.98,3.71573,3.34565
14,58.28,24,244.22,-21.8655,-12.1202
39,133.54,12,136.1,50.3141,37.9143
15,61.47,19,199.12,-7.41888,-11.8727
13,55.5,9,109.13,51.6043,63.7259
12,51.98,33,325.22,11.5831,5.90187
25,91.07,9,109.35,43.99,13.4491
7,37.2,29,289.41,69.9432,56.6388
34,118.42,13,145.14,39.5001,68.416
15,61.02,14,154.43,-16.5808,-11.1838
36,124,29,289.03,64.4517,40.2738
11,49.27,18,190.18,43.8406,43.8406
28,100.22,11,127.45,84.591,24.2561
0,16.1,36,352.13,0,0
30,106.28,27,271.04,23.5114,32.3607
18,70.41,23,235.33,-42.8584,-25.7519
31,109.22,1,37.56,55.2424,28.1474
26,94.48,0,28.52,-29.708,-4.17519
30,106.26,19,199.51,-18.1698,-5.55506
28,100.38,14,154.03,-22.7866,-36.466
31,109.22,8,100.2,-58.4937,-69.71
12,52.46,36,352.46,-66.255,-43.0265
2,22.29,8,100.3,-71.1935,-51.7251
1,19.37,9,109.37,3.09018,9.51056
16,64.45,30,298.26,-96.8366,-20.5832
33,115.3,31,307.44,24.8579,14.9361
16,64.52,2,46,-51.8319,-55.5828
30,106.14,26,262.14,52.3129,72.0025
9,43.1,35,343,33.7147,83.4465
25,91.45,3,55.34,-18.0701,-5.87132
32,112.06,28,279.99,40.6881,67.7162
30,106.17,21,216.98,22.3267,77.8622
19,73.15,37,361.42,53.1959,57.0456
32,112.38,15,163.53,-16.9706,-16.9706
21,79.37,5,73.35,-20.3181,-47.8662
5,31.53,2,46.27,10.1986,35.5667
28,100.56,22,226.1,16.0689,49.4549
35,121.18,12,136.18,44.446,7.03955
10,46.33,1,36.99,93.2424,26.7368
20,76.04,6,82.48,-39.8689,-16.1081
16,64.11,18,190.53,14.0518,15.606
24,88.31,34,334.55,9.53382,18.7111
33,115.24,6,82.17,-17.8744,-14.4744
2,22.4,25,253.08,-2.11968,-3.39219
29,103.28,20,208.53,-25.9541,-7.4422
29,103.2,3,55.11,47.9315,49.6344
3,25.41,34,333.99,-22.9125,-2.00458
15,61.54,39,379.21,8.82948,4.69471
