A,B,C,D,E,F
25,91.37,5,73.05,23.4736,44.1474
34,118.56,6,82.26,-8.38671,-5.44639
17,67.09,30,298.37,75.4763,47.1628
39,133.38,39,379.41,-11.3701,-6.30252
39,133.49,17,181.47,-18.6509,-3.62537
30,106.21,33,325.13,-61.3488,-41.3802
23,85.11,30,298.42,57.777,53.8778
39,133.44,27,271.3,-11.2382,-27.8155
27,97.1,25,253.38,-2.99686,-7.41747
19,73.33,32,316.39,65.8179,38
13,55.48,11,127.08,-91.1047,-12.8039
19,73.1,20,208.31,-8.96575,-0.784401
11,49.23,25,253.18,-13.5063,-47.1018
2,22.09,13,145.18,-22.9513,-7.01691
18,69.98,28,280.41,72.6759,54.7651
24,88.42,19,199.43,57.7107,12.2668
15,61.56,0,28.49,-93.2546,-18.1268
33,115.17,11,127.31,-73.0889,-11.5761
2,22.46,17,181.23,-24.432,-8.89252
30,106.09,1,37.24,32.3251,51.7309
12,52.37,19,199.29,-17.335,-25.7002
19,72.99,29,289.24,17.9737,42.3432
19,73.37,1,37.34,-75.3422,-20.1879
17,67.53,0,28.4,-38.1129,-63.4304
35,121.2,25,253.28,10.4954,5.81771
4,28.04,22,226.49,-39.2043,-19.9756
16,64.33,13,145.26,62.5304,7.67776
15,61.13,30,298.32,-34.0493,-66.8255
26,94.25,37,361.54,21.0419,43.1421
7,37.13,16,172.56,86.6689,7.58254
16,64.36,28,280.43,48.9074,10.3956
39,133.11,39,378.97,45.0745,36.5006
32,112.47,25,253.31,-73.8289,-59.7854
34,118.46,15,163.39,51.4301,30.9023
6,34.37,15,163.51,54.8127,24.4042
14,58.45,1,37.49,19.6052,7.52572
3,25.07,39,379.15,9.80107,4.99389
39,133.34,37,361.43,53.3514,63.5816
17,67.44,29,289.53,41.3803,61.3487
33,115.47,23,235.28,-81.5677,-38.0356
4,28.42,17,181.24,-40.1648,-12.2796
19,73.04,38,370.05,19.3519,50.4133
27,97.37,38,370.3,-76.3243,-47.6927
24,87.98,33,325.5,41.6028,14.325
39,133.25,32,316.49,20.7042,63.7208
8,40.09,27,271.22,25.821,48.5621
27,97.42,10,118.01,49.0243,14.0575
39,133.48,17,181.26,68.1514,26.1608
22,82.5,30,298.31,20.4883,16.0072
21,79.29,1,37.05,11.3012,39.4117
5,31,33,325.53,-38.8444,-37.5115
14,58.48,37,361.38,-53.3352,-8.44745
37,127.3,6,82.18,22.2672,29.5495
35,121.46,33,324.98,-34,-58.8897
31,109.52,18,190.11,-30.7324,-24.0108
16,64.42,34,334.24,13.9256,9.75079
21,79.55,25,253.06,52.863,65.2802
7,37.46,8,100.46,17.8201,9.0798
4,28.52,39,379.07,0.788011,0.615661
22,82.41,37,361.33,3.00908,3.99318
2,22.14,17,181.33,-28.7427,-11.6128
5,31.03,22,226.16,52.6228,19.1531
35,121.02,37,361.42,9.53382,18.7111
3,25.42,10,117.98,-3.66064,-8.22191
23,85.01,16,172.41,52.091,43.7095
17,67.29,33,325.48,17.2552,50.1125
15,61.21,39,379.19,5.55727,5.75471
15,61.38,7,91.41,-62.1213,-25.0986
24,88.52,0,28.21,-33.9926,-56.573
38,130.12,26,262.56,-9.72522,-10.0708
39,133.09,26,262.53,5.47025,12.8871
14,58.44,8,100.26,-7.90151,-1.25147
21,79.49,18,190.23,58.2492,42.3205
9,43.16,20,208.25,34.103,7.87328
5,31.5,24,244.41,-34.8569,-53.6749
32,112.1,26,262.45,-53.5531,-16.3728
20,76.53,25,252.97,18.0264,30.0008
29,103.19,26,262.25,0.309018,0.951056
24,88.06,23,235.46,72.8282,65.5748
25,91.16,18,190.52,3.5833,12.4964
29,102.99,14,154.02,-3.37147,-8.34465
7,37.23,32,316.25,6.91382,1.09504
12,52.25,0,27.99,30.0582,54.2264
0,16.13,30,298.08,-71.7229,-21.9279
29,103.51,4,64.16,-56.6389,-69.9431
33,115.55,38,370.54,-53.9277,-26.3022
7,37.31,27,271.17,38.0145,15.3589
10,46.43,9,109.39,-59.7558,-34.5
22,82.54,3,55.34,55.455,7.79369
9,43.21,18,190.06,45.748,4.80831
29,103.5,0,28.24,-53.4923,-66.0574
14,58.22,25,253.17,36.0427,25.2373
19,72.99,8,100.09,-29.5094,-57.9154
32,112.47,13,145.07,12.5429,32.6753
27,97.15,13,145.1,25.8775,50.7873
17,67.26,26,262.42,24.7275,8.03444
23,85.53,1,37.05,28.7726,31.9552
6,34.45,36,352.48,-8.75566,-14.5718
29,103,29,289.44,45.5009,50.5338
34,118.35,10,118.32,-74.3427,-41.2088
37,127,3,55.19,-45.6939,-49.0007
19,73.19,14,154.25,42.7722,27.7766
25,91.41,21,216.98,14.7447,10.3244
21,79.34,20,208.31,7.87158,4.36328
23,85.19,13,145.15,-30.2942,-15.4357
30,106.53,19,199.05,48.2694,45.0119
27,97.09,23,235.21,7.03318,16.5691
