A,B,C,D,E,F
20,116.32,3,37.5,65.769,12.7842
8,31.98,26,60.56,-45.8385,-76.2878
13,67.08,27,61.51,17.9315,1.5688
6,18.15,21,55.47,36.2009,19.2483
30,186.47,26,60.1,-3.40999,-3.65677
39,249.07,27,61.27,1.54509,4.75528
22,130.28,29,63.22,-1.57602,-1.23132
10,46.25,9,43.47,-37.7402,-24.5087
4,4.29,30,64.28,-39.7587,-61.2229
25,151.49,30,64.25,79.8468,77.107
20,116.56,19,53.52,-78.4781,-27.0221
29,179.53,5,39.23,-25.6785,-8.34345
27,165.34,0,34.54,-19.0564,-31.7152
36,228.15,4,38.04,10.9397,1.14981
13,67.56,7,41.39,32.8631,61.8063
25,151.51,6,40.54,81.4309,48.9286
14,74.51,6,40.22,-28.1327,-66.2763
12,60.32,21,55.53,33.3525,74.9107
7,25.46,25,59.05,53.5848,41.8649
34,214.56,3,37.19,-13.1452,-24.7225
12,60.41,25,58.99,-45.9242,-52.8296
31,193.04,10,44.52,-43.3307,-57.5017
19,109.28,36,70.43,-73.4104,-19.6702
35,221.55,33,66.97,-26.6946,-11.3312
30,186.05,6,40.08,-22.6274,-22.6274
2,-9.86,26,59.99,22.2524,8.99055
11,53.39,32,66.19,-11.7017,-10.912
0,-23.59,9,43.17,58.7085,52.8613
35,221.03,39,73.03,17.614,54.2102
4,4.04,7,41.14,-68.5894,-68.5893
34,214.4,16,50.07,7.54804,4.90175
35,221.52,7,41.32,4.97034,16.2572
6,18.17,9,43.06,-84.6766,-7.40823
16,88.43,31,65.55,67.6117,54.7508
26,158.34,34,68.3,51.1726,58.8673
10,46.41,27,61.17,1.12382,2.78155
12,60.36,22,56.1,-63.3956,-55.1089
6,18.09,14,48.29,-19.6052,-7.52572
29,179.17,28,62.17,66.323,44.7354
22,130.16,10,44.25,-15.4099,-40.1439
9,39.24,18,52.18,-9.38945,-17.6589
9,39.09,9,42.99,16.8211,15.686
15,81.12,36,70.53,35.3912,63.8472
19,109.21,19,53.4,-16.6581,-34.1542
18,102.35,0,34.26,47.5083,52.7632
0,-23.52,10,44.25,-58.2666,-56.2673
9,39.08,13,47.53,51.3571,16.6869
28,172.39,28,62.45,-21.4998,-74.9784
27,165.36,20,54.15,-49.0243,-14.0575
14,74,17,51.47,-96.0593,-23.9502
22,130.18,31,65.31,8.79036,25.529
22,129.99,29,63.27,-88.3366,-10.8464
24,144.34,24,58.35,-61.4795,-31.3253
36,228.34,23,57.43,-38.3689,-17.0829
15,81.32,21,55.21,46.3549,25.6949
18,102.32,26,60.16,30.559,14.9046
22,130.12,10,44.32,72.8282,65.5748
4,4.33,27,61.13,-24.7432,-71.8594
24,144.48,6,40.51,-28.1053,-40.1384
38,242.46,12,46.28,30.2779,87.9332
25,151.12,26,60,3.80084,12.432
38,242.31,31,65.23,-4.33013,-2.5
18,102.14,39,73.25,-56.8503,-31.5126
19,109.13,6,40.29,47.8923,55.0938
21,123.31,31,65.4,-47.6069,-67.9896
21,123.1,2,36.13,13.4577,3.85892
25,151.29,6,40,-79.5876,-53.6825
22,130.25,10,44.19,13.0156,29.2334
0,-23.51,17,51.07,-44.5503,-22.6995
32,200.42,6,39.97,3.66064,8.22191
6,18.35,30,64.1,-12,-20.7846
1,-16.54,19,53.55,64.6169,50.4842
11,53.28,38,72.5,-66.574,-21.6312
20,116.19,17,51.3,31.8695,20.6963
37,235.27,16,50.05,-47.4948,-39.8528
17,95.48,19,53.21,5.15039,8.57167
23,137.08,31,65.04,22.1018,54.7038
22,130.22,14,48.26,50.3721,7.97815
13,67.09,22,56.38,-36.4379,-6.42498
7,25.06,4,38.2,-29.1373,-15.4925
28,172.1,25,59.38,-14.5878,-15.1061
12,60.53,27,61.14,-4.47355,-6.6323
21,123.35,39,73.48,-21.1166,-35.1438
25,151.48,9,43.55,26.9638,13.1511
34,214.23,15,49.42,36.1331,40.1298
3,-3.02,34,68.06,-75.5837,-7.94416
28,172.03,16,50.29,24.4177,70.9139
33,207.51,13,47.25,33.2072,28.8666
11,53.04,13,47.45,79.8888,25.9574
8,32.39,34,68.44,16.687,51.357
22,130.22,32,66.46,38.9417,15.7335
35,221.14,0,34.15,-66.1539,-70.9413
20,116.34,5,39.39,-20.6963,-31.8695
26,158.29,5,39.13,13.1557,4.78828
35,221.09,25,59.05,-92.3068,-11.3338
33,207.29,15,49.23,16.458,22.6525
1,-16.75,28,62.56,73.5403,61.7076
28,172.19,2,36.32,41.8465,13.5967
33,207.24,20,54.52,-36.5313,-18.6136
9,39.47,34,68.01,30.4338,9.88854
32,200.39,27,61.31,57.1189,10.0716
5,10.98,3,37.28,66.574,21.6312
24,144.53,27,61.37,-35.2104,-66.221
19,109.02,6,40.25,88.6327,15.6283
11,53.08,0,34.37,-19.7149,-11.8459
34,214.36,38,72.45,-26.8521,-2.82227
35,221.39,23,56.98,17.8355,16.0591
37,235.16,3,37.51,-53.5086,-40.3216
17,95.5,5,39.17,-52.8363,-34.3122
8,32.27,22,56.39,-64.0859,-37
35,221.18,34,68.45,79.8739,29.0717
9,39.5,14,48.12,38.4505,11.0255
35,221.24,22,56.19,-59.1446,-35.5376
5,11.53,33,67.09,-16.0595,-34.4397
14,74.4,35,68.99,22.7773,51.1585
4,3.99,6,40.32,-6.85734,-4.1203
33,207.53,37,71.27,80.9904,12.8276
22,130.01,34,68.14,-6.21717,-5.03456
18,102.4,31,65.23,6.4322,21.0387
23,137.16,16,50.09,17.0193,5.86022
5,11.4,24,58.53,77.6994,41.3135
32,200.27,14,48.43,-56.5087,-30.0462
13,67.4,12,46.06,-27.9243,-24.2742
39,249.56,13,47.27,-83.5398,-8.78038
13,67.16,39,73.09,16.9048,36.2523
10,46.05,0,34.18,-88.0825,-35.5876
14,74,7,41.23,1.54512,2.5715
7,25.34,17,51.08,-55.7651,-64.1503
19,109.15,8,42.22,-10.6921,-5.44788
6,18.06,31,65.11,-16.3492,-14.7209
18,102.11,37,71.18,26.8521,2.82227
11,53.4,4,38.19,-64.4517,-40.2738
6,18.21,29,63.53,-13.5768,-10.2308
6,18.03,38,72.48,47.0333,67.1704
3,-2.89,20,54.19,10.6066,10.6066
21,123.08,18,52.16,-24.6638,-35.2235
16,88.49,34,68.06,-88.6901,-34.0449
35,221.19,1,35.28,-34.67,-51.4003
10,46.48,25,59.18,26.308,6.07367
33,207.19,29,63.28,-62.5352,-29.1606
16,88.12,26,60.51,-70.1546,-16.1965
14,74.1,4,38.13,32.0539,34.3736
3,-2.73,33,67.02,20.6142,4.00699
35,221.21,8,42.55,12.7128,26.065
0,-24.01,2,36.02,19.5718,29.0163
1,-16.64,37,71.4,1.75349,3.59517
0,-23.51,18,51.97,20.5108,59.5676
38,242.21,36,70.44,-24.4703,-11.4107
6,18.43,26,60.38,87.5179,9.1985
36,228.29,15,49.14,42.5007,11.388
33,207.28,9,43.08,-22.4699,-10.9593
28,172.47,13,47.14,25.3717,9.23454
