A,B,C,D,E,F
16,198.52,7,74.35,-58.9215,-15.788
8,118.02,22,149.42,-11.4127,-3.7082
35,388.32,39,234.03,93.7179,28.6524
20,238.45,1,44.15,-6.78735,-12.2447
30,338.36,3,53.99,-8.57168,-5.15038
16,198.04,32,199.07,52.075,45.268
34,378.5,9,84.19,31.8247,3.34491
36,398.23,17,124.1,-1.96962,-0.347296
18,218.53,7,74.47,-69.4271,-22.5582
33,368.12,16,119.44,38.5725,23.1767
9,128.28,30,189.06,76.815,13.5445
14,178.2,30,189.25,-32.0429,-18.5
13,168.32,13,104.07,-26.7369,-93.2424
12,158.35,11,93.97,-23.9431,-45.0303
4,78.19,36,219.03,-50.328,-26.7599
0,38.49,8,79.18,-4.28584,-2.57519
21,248.33,31,194.25,37.3954,43.0184
33,368.47,26,169.39,78.2518,16.6329
26,298.44,21,144.44,93.0852,13.0823
27,308.47,19,134.34,-24.5593,-80.3296
12,157.99,10,89.26,-3.49848,-1.93924
2,58.27,2,49.32,-21.7916,-42.7683
38,418.34,33,204.29,-55.3523,-35.9462
1,48.03,21,144.12,-59.3339,-63.6277
6,98.38,5,64.26,33.2072,28.8666
5,88.09,13,104.41,-50.9681,-37.0304
24,278.03,16,119.13,-33.6089,-12.9012
5,87.97,26,169.52,14.2574,9.25886
5,88.34,36,219.15,12.6082,9.85058
36,398.34,39,234.5,33,57.1577
4,78.04,34,209.08,-14.5544,-3.62883
2,58.32,17,124.06,-7.64125,-7.91273
31,348.27,25,164.56,77.4872,29.7445
38,418.38,20,139.3,80.3962,9.87141
32,358.36,2,49.02,84.5723,30.7818
16,197.98,6,69.03,-26.4735,-33.8844
12,158.04,0,39.16,13.3148,4.32623
29,328.5,15,114.22,34.1847,30.78
23,268.08,12,99.53,16.0381,8.17182
36,398.42,0,39.33,24.5119,52.5658
26,298.47,17,124.39,-68.2059,-15.7466
32,358.48,18,129.33,92.0949,12.9431
11,148.18,12,99.35,67.987,36.1493
14,178.2,18,129.17,27.2001,22.0262
35,388.3,16,119.14,0,0
25,288.32,28,179.19,-0.551277,-1.92252
12,157.99,16,119.36,-75.4987,-36.8232
27,307.97,12,99.02,-31,-53.6936
4,78.25,22,149.4,51.6026,28.6037
30,338.55,12,99.17,20.1651,41.3445
20,238.51,3,54.47,-43.3013,-25
19,228.14,17,124.53,-31.1239,-85.512
6,98.05,31,194.26,-3.26784,-5.03202
34,378.5,8,79.53,19.5715,32.5723
6,98.43,34,209.55,-64.1503,-55.765
18,218.08,1,44.25,9.62905,12.7782
6,98.28,20,139.12,-12.1353,-8.81677
19,227.97,2,49.32,-53.1234,-78.7585
16,198.56,9,84.29,-5.69432,-12.7896
33,368.11,39,234.39,53.8307,15.4357
39,428.52,16,119.11,-71.0141,-41
19,228.51,39,233.97,-31.5365,-82.1551
14,178.24,13,104.54,-75.6831,-18.8699
29,328.3,26,169.53,61.3946,49.7163
37,408,29,184.41,-16.4207,-4.39992
26,298.38,33,204.45,-27.9878,-15.5139
32,358.42,10,89.16,17.9014,1.88151
36,398.51,22,149.09,-3.2161,-10.5193
25,288.07,22,149.46,45.2947,67.152
8,118.37,37,224.36,26.8413,39.7938
1,48.27,4,58.99,2.74064,1.22021
5,87.97,18,129.05,-19.0179,-40.7838
10,138.23,36,218.99,-20.1281,-13.0713
21,248.25,28,179.01,-26.8116,-22.4976
8,118.45,32,199.55,-72.0082,-60.422
39,428.04,1,44.19,-16.6718,-17.2641
24,278.53,36,219.44,-30.8714,-60.5884
19,228.21,11,94.39,37.5578,70.6358
16,198.31,34,209.38,0.275638,0.961261
31,348.05,3,54.56,-76.3243,-47.6927
17,208.15,14,109.4,-64.7214,-47.0228
32,358.32,29,184.24,-26.8973,-2.3532
2,57.97,14,109.53,11.0322,8.61925
20,238.09,35,214.51,-94.5519,-32.5568
39,428.37,13,104.13,-81.7072,-23.4292
23,268.13,29,184.43,39.9694,55.0131
16,198.21,25,164.45,23.9749,59.3397
36,398.05,33,204.25,-53.6231,-43.4231
37,407.97,12,99.55,-38.1542,-61.0594
6,98.5,39,234.24,-9.76707,-28.3655
2,58.35,31,194.17,-11.8262,-30.8081
31,347.97,32,199.44,26.8777,70.0185
31,348.09,29,184.16,-23.5114,-32.3607
16,198.24,23,154.46,9.84089,11.3206
4,78.06,38,229.08,16.9917,20.9829
1,48.16,7,74.47,44.821,10.3477
26,298.47,17,124.47,-41.9395,-62.1778
2,58.35,6,68.98,-24.6744,-32.744
35,387.99,39,234.39,-85.3855,-41.6452
2,58.24,25,164.06,0.813475,1.82709
30,338.21,37,224.47,-0.987688,-0.156434
8,117.97,18,129,11.4107,24.4703
37,408.53,2,49.37,-30.2477,-62.0168
24,278.24,7,74.16,-12.8575,-7.72557
1,48.05,9,84.07,45.1528,46.7571
23,268.26,28,179.54,-61.1315,-53.1407
24,278.23,16,119.52,39.7027,58.8616
9,128.32,35,214.19,-36.2485,-28.3204
37,408.55,18,129.14,-17.5829,-41.4227
10,138.51,18,129.34,18.3697,21.1319
